symbol,declining_operating_cash_flow,increased_capital_expenditures,increasing_debt_repayment,rising_free_cash_flow,decreasing_capital_expenditures,positive_net_change_in_cash,red_flag_count,green_flag_count,cf_final_count
A,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
AAPL,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
ABBV,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
ABNB,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
ABT,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
ACGL,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
ACN,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
ADBE,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
ADI,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
ADM,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
ADP,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
ADSK,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
AEE,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,0,1,1
AEP,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
AES,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,1,1,0
AFL,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",2,1,-1
AIG,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
AIZ,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
AJG,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
AKAM,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,0,1,1
ALB,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
ALGN,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
ALL,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
ALLE,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
AMAT,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
AMCR,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
AMD,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
AME,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
AMGN,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
AMP,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
AMT,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
AMZN,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
ANET,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
ANSS,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
AON,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
AOS,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
APA,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
APD,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
APH,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
APTV,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
ARE,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,1,1,0
ATO,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
AVB,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
AVGO,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
AVY,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
AWK,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
AXON,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
AXP,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,"Positive Net Change in Cash",3,1,-2
AZO,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
BA,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
BAC,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
BALL,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
BAX,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
BBWI,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
BBY,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
BDX,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
BEN,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
BG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
BIIB,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
BK,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
BKNG,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
BKR,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
BLDR,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
BLK,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
BMY,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
BR,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
BRK-B,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
BRO,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
BSX,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
BWA,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
BX,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
BXP,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",0,2,2
C,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
CAG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
CAH,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CARR,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CAT,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CB,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
CBOE,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
CBRE,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
CCI,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CCL,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
CDNS,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CDW,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CE,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
CEG,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
CF,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
CFG,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
CHD,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CHRW,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
CHTR,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
CI,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CINF,NULL,NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,0,1,1
CL,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CLX,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
CMCSA,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
CME,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CMG,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
CMI,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
CMS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CNC,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CNP,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
COF,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
COO,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
COP,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
COR,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
COST,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
CPAY,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CPB,NULL,NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,1,1,0
CPRT,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CPT,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
CRL,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CRM,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
CRWD,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CSCO,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,NULL,2,0,-2
CSGP,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
CSX,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
CTAS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
CTLT,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
CTRA,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
CTSH,"Declining Operating Cash Flow","Increased Capital Expenditures","Increasing Debt Repayment",NULL,NULL,NULL,3,0,-3
CTVA,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
CVS,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
CVX,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
CZR,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
D,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
DAL,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
DAY,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
DD,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
DE,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DECK,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DELL,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
DFS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DG,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DGX,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",1,2,1
DHI,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DHR,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
DIS,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DLR,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures","Positive Net Change in Cash",2,2,0
DLTR,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
DOC,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DOV,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,"Positive Net Change in Cash",2,2,0
DOW,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
DPZ,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
DRI,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
DTE,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
DUK,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,0,2,2
DVA,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
DVN,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
DXCM,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
EA,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",1,2,1
EBAY,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures",NULL,1,2,1
ECL,NULL,NULL,NULL,"Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",0,3,3
ED,"Declining Operating Cash Flow",NULL,NULL,NULL,"Decreasing Capital Expenditures",NULL,1,1,0
EFX,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
EG,NULL,NULL,NULL,"Rising Free Cash Flow",NULL,"Positive Net Change in Cash",0,2,2
EIX,NULL,"Increased Capital Expenditures","Increasing Debt Repayment","Rising Free Cash Flow",NULL,NULL,2,1,-1
EL,NULL,"Increased Capital Expenditures",NULL,"Rising Free Cash Flow",NULL,NULL,1,1,0
ELV,"Declining Operating Cash Flow",NULL,"Increasing Debt Repayment",NULL,"Decreasing Capital Expenditures",NULL,2,1,-1
EMN,NULL,NULL,"Increasing Debt Repayment","Rising Free Cash Flow","Decreasing Capital Expenditures","Positive Net Change in Cash",1,3,2
EMR,"Declining Operating Cash Flow","Increased Capital Expenditures",NULL,NULL,NULL,"Positive Net Change in Cash",2,1,-1
