symbol,declining_gross_profit_margin,rising_sga_expenses,increasing_debt_burden,increasing_ebitda_margin,rising_operating_income,revenue_growth,red_flag_count,green_flag_count,pnl_final_count
A,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
AAPL,NULL,NULL,"Increasing Debt Burden",NULL,NULL,NULL,1,0,-1
ABBV,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
ABNB,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
ABT,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
ACGL,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
ACN,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
ADBE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ADI,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ADM,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
ADP,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ADSK,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
AEE,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,3,2,-1
AEP,NULL,"Rising SG&A Expenses",NULL,NULL,"Rising Operating Income",NULL,1,1,0
AES,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",1,1,0
AFL,NULL,NULL,NULL,NULL,"Rising Operating Income",NULL,0,1,1
AIG,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
AIZ,NULL,"Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",1,2,1
AJG,NULL,NULL,"Increasing Debt Burden",NULL,NULL,"Revenue Growth",1,1,0
AKAM,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
ALB,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
ALGN,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ALL,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
ALLE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
AMAT,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
AMCR,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
AMD,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
AME,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
AMGN,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
AMP,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
AMT,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
AMZN,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ANET,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ANSS,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
AON,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
AOS,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
APA,"Declining Gross Profit Margin",NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
APD,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
APH,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
APTV,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ARE,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ATO,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
AVB,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
AVGO,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
AVY,NULL,NULL,"Increasing Debt Burden",NULL,NULL,NULL,1,0,-1
AWK,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
AXON,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
AXP,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
AZO,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
BA,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
BAC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
BALL,NULL,NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income",NULL,0,2,2
BAX,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,3,2,-1
BBWI,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,NULL,1,0,-1
BBY,NULL,NULL,"Increasing Debt Burden",NULL,NULL,NULL,1,0,-1
BDX,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
BEN,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
BG,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
BIIB,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,3,1,-2
BK,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",1,1,0
BKNG,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BKR,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BLDR,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
BLK,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BMY,"Declining Gross Profit Margin",NULL,NULL,NULL,"Rising Operating Income",NULL,1,1,0
BR,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BRK-B,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BRO,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BSX,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
BWA,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
BX,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
BXP,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
C,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CAG,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
CAH,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",2,2,0
CARR,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,"Revenue Growth",2,2,0
CAT,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CB,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
CBOE,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
CBRE,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
CCI,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
CCL,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CDNS,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
CDW,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin",NULL,NULL,1,1,0
CE,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CEG,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
CF,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
CFG,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CHD,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
CHRW,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,NULL,2,0,-2
CHTR,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
CI,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CINF,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
CL,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
CLX,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin",NULL,NULL,1,1,0
CMCSA,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CME,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CMG,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
CMI,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",2,1,-1
CMS,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
CNC,NULL,"Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",1,1,0
CNP,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
COF,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
COO,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
COP,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
COR,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
COST,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CPAY,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CPB,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CPRT,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
CPT,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
CRL,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,"Revenue Growth",3,2,-1
CRM,"Declining Gross Profit Margin",NULL,NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
CRWD,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CSCO,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
CSGP,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CSX,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,NULL,3,0,-3
CTAS,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CTLT,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
CTRA,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
CTSH,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
CTVA,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
CVS,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
CVX,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
CZR,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
D,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
DAL,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
DAY,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
DD,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
DE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
DECK,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
DELL,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,1,1,0
DFS,NULL,"Rising SG&A Expenses",NULL,NULL,"Rising Operating Income","Revenue Growth",1,2,1
DG,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
DGX,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
DHI,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
DHR,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
DIS,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
DLR,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
DLTR,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,"Revenue Growth",2,1,-1
DOC,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",3,2,-1
DOV,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
DOW,"Declining Gross Profit Margin",NULL,"Increasing Debt Burden",NULL,NULL,NULL,2,0,-2
DPZ,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
DRI,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
DTE,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,2,2,0
DUK,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",1,3,2
DVA,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,"Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
DVN,"Declining Gross Profit Margin","Rising SG&A Expenses",NULL,NULL,NULL,NULL,2,0,-2
DXCM,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",3,3,0
EA,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
EBAY,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
ECL,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income","Revenue Growth",2,3,1
ED,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
EFX,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
EG,NULL,"Rising SG&A Expenses","Increasing Debt Burden",NULL,"Rising Operating Income","Revenue Growth",2,2,0
EIX,NULL,NULL,"Increasing Debt Burden","Increasing EBITDA Margin","Rising Operating Income",NULL,1,2,1
EL,NULL,NULL,"Increasing Debt Burden",NULL,NULL,NULL,1,0,-1
ELV,"Declining Gross Profit Margin","Rising SG&A Expenses","Increasing Debt Burden",NULL,NULL,"Revenue Growth",3,1,-2
EMN,NULL,"Rising SG&A Expenses","Increasing Debt Burden","Increasing EBITDA Margin",NULL,NULL,2,1,-1
EMR,NULL,NULL,NULL,"Increasing EBITDA Margin",NULL,NULL,0,1,1
ENPH,NULL,"Rising SG&A Expenses",NULL,"Increasing EBITDA Margin",NULL,NULL,1,1,0
EOG,"Declining Gross Profit Margin",NULL,NULL,"Increasing EBITDA Margin",NULL,NULL,1,1,0
EPAM,"Declining Gross Profit Margin",NULL,NULL,NULL,NULL,NULL,1,0,-1
